video,release_date,id,genre_ids,adult,original_title,poster_path,title,overview,original_language,backdrop_path,popularity,vote_count,vote_average
False,2022-04-09,957992,"[80, 18, 28]",False,军火大劫案,/ronrzgFs2FOk0R4BAZgyLaYdhua.jpg,The Great Arms Robbery,The Great Arms Robbery,zh,/ERahy6DLROhL2adaqfTqEM2fXf.jpg,169.321,25,7.04
False,2023-06-15,884605,"[35, 10749]",False,No Hard Feelings,/gD72DhJ7NbfxvtxGiAzLaa0xaoj.jpg,No Hard Feelings,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",en,/rRcNmiH55Tz0ugUsDUGmj8Bsa4V.jpg,166.476,1688,7.109
False,2023-07-31,614930,"[16, 35, 28, 878]",False,Teenage Mutant Ninja Turtles: Mutant Mayhem,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",en,/w2nFc2Rsm93PDkvjY4LTn17ePO0.jpg,179.888,810,7.338
False,2023-10-26,1002459,"[18, 53]",False,El rapto,/gTr0EbbrYpM2eKUoIR8US83GCXX.jpg,The Rescue: The Weight of the World,Julio returns with his family to Argentina after the downfall of the brutal dictatorship that overpowered long-standing democracy. Things soon take an ugly turn as his brother is kidnapped and Julio becomes the lead negotiator with the criminals.,es,/uvB7yVdkFXiij0A3vE8xPb0N51y.jpg,177.666,5,7.5
False,2023-10-26,1154598,"[16, 28, 10751]",False,LEGO Marvel Avengers: Code Red,/rDzig50dj7VpLwJ7SThbamETK1G.jpg,LEGO Marvel Avengers: Code Red,"The Avengers gather to celebrate their latest victory, but their celebration is quickly interrupted by the mysterious disappearance of Black Widow's father, Red Guardian. As the Avengers investigate, they discover that Red Guardian isn't the only one missing when they meet a dangerous new foe quite unlike anything they've ever encountered before.",en,/oFSQEG1lJTTISj3QKB7cJ9ANkFw.jpg,186.071,42,6.619
False,2023-10-05,1039960,"[10751, 14, 878, 10770]",False,Monster High 2,/mClrCMfGpOqTSiuCTSK67WZ92x5.jpg,Monster High 2,"As they enter sophomore year at Monster High, Clawdeen Wolf, Draculaura and Frankie Stein face new students, new powers, and an even bigger threat that could not only tear their friendship apart but could change the world forever.",en,/1foT5oMWmutKx4tgNUARVtywL6O.jpg,172.275,35,7.6
False,2023-01-25,715385,"[16, 18]",False,Interdit aux chiens et aux Italiens,/mYPMkz0b71qgqVIWdl1sbdewGGm.jpg,No Dogs or Italians Allowed,"Early 20th century, in the Ughetto family's home village, Ughettera, Northern Italy. Life in the region had become very difficult and the Ughettos dreamed of a better life abroad. Legend has it that Luigi Ughetto crossed the Alps and started a new life in France, thus changing his beloved family's destiny forever. His grandson retraces their story.",fr,/tG9F7wnvLXoCDwyz0ZwyvtMBV5s.jpg,187.142,50,7.7
False,2021-10-13,568124,"[16, 35, 10751, 14]",False,Encanto,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",en,/3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,166.509,8726,7.626
False,2023-03-24,915403,"[16, 28, 878]",False,グリッドマン ユニバース,/ho8pgPRrVUiBtEspEcjgzZcxwpL.jpg,Gridman Universe,"Sometime ago, this world was created by a girl, and was then destroyed by her in order to vent her frustration towards the reality. It was Gridman the Hyper Agent, the humane monster she created, Yuta Hibiki and his friends who saved her heart. Yuta Hibiki had just become a second-year high school student and decided to reveal his feelings to his classmate, Rikka. However, Kaiju suddenly appeared and began to attack the city. Gridman came back from the alternate dimension and told Yuta that worlds of different dimensions which were once in harmony were rapidly losing their balance. When the red dragon Dyan Rex, the Gridman's supporters named “Neon Genesis Junior High Students”, and the residents of an alternative world, Yomogi Asanaka and his friends appeared one by one, Yuta was once again caught up in a great crisis…",ja,/cu4RB859vbrim0GCM0swmGAKN70.jpg,174.865,5,8.8
False,2023-07-05,496450,"[16, 10751, 28, 14, 10749]",False,Miraculous - le film,/bBON9XO9Ek0DjRwMBnJNCwC96Cd.jpg,"Miraculous: Ladybug & Cat Noir, The Movie","A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",fr,/iEFuHjqrE059SmflBva1JzDJutE.jpg,186.669,641,7.782
False,2023-10-06,763165,"[35, 18]",False,The Burial,/9ssNSfNKpzZwhbFsnW3wa82m2sG.jpg,The Burial,"When a handshake deal goes sour, funeral home owner Jeremiah O'Keefe enlists charismatic, smooth-talking attorney Willie E. Gary to save his family business. Tempers flare and laughter ensues as the unlikely pair bond while exposing corporate corruption and racial injustice.",en,/aOI3o06xhCgLmA6Bcpm4KRDeMXF.jpg,150.568,232,7.282
False,2023-06-28,1040148,"[16, 10751, 14, 35]",False,"Ruby Gillman, Teenage Kraken",/8ChIb3WzYAcza1vrXR56v510MWk.jpg,"Ruby Gillman, Teenage Kraken","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",en,/f7UI3dYpr7ZUHGo0iIr1Qvy1VPe.jpg,174.368,743,7.419
